,id,athlete_id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,achievement_count,kudos_count,average_speed,max_speed,average_cadence,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,average_heartrate_sort,max_heartrate_sort,elev_high,elev_low,pr_count,suffer_score,date,date_sort,time,distance_f,moving_time_f,pace,start_lat,start_lng
31,11354284748,2.0,Afternoon Ride,38721.6,4985,6151,340.0,Ride,25,10,7.768,13.62,n/a,141.1,n/a,n/a,703.6,0,0,n/a,n/a,0.0,0,93.4,28.2,5,n/a,07/05/2024,739013,15:13:55,38.72km,01:23:05,28.0km/h,51.014674259349704,-0.37789818830788136
32,11191558915,2.0,Morning Run,5006.4,1512,1512,90.0,Run,0,10,3.311,5.36,79.6,383.8,519.0,386.0,580.3,1,1,164.1,185.0,164.1,185,772.8,736.2,0,60.0,16/04/2024,738992,09:12:20,5.01km,00:25:12,05:02/km,35.23878852836788,139.0008895844221
33,11186068219,2.0,Afternoon Walk,5621.8,6529,10860,543.0,Walk,0,2,0.861,1.97,52.4,n/a,n/a,n/a,n/a,n/a,1,121.7,181.0,121.7,181,1216.2,672.6,0,46.0,15/04/2024,738991,13:22:48,5.62km,01:48:49,19:21/km,35.27547695674002,139.00658760219812
34,11184861383,2.0,Deer Hill,7999.3,7033,9473,264.0,Walk,0,8,1.137,2.13,53.0,n/a,n/a,n/a,n/a,n/a,1,99.2,146.0,99.2,146,345.6,89.8,0,18.0,14/04/2024,738990,10:53:48,8.00km,01:57:13,14:40/km,34.682606756687164,135.8315355051309
35,10990109013,2.0,Soaking wet Noosa walk,10210.5,7629,8863,155.0,Walk,0,6,1.338,3.082,54.3,n/a,n/a,n/a,n/a,n/a,1,114.5,148.0,114.5,148,87.2,13.0,0,26.0,19/03/2024,738964,10:25:33,10.21km,02:07:09,12:27/km,-26.401992179453373,153.10342197306454
36,10961911383,2.0,Albert Park 🏎️,5009.9,1244,1244,1.0,Run,0,8,4.027,4.88,82.9,445.7,523.0,442.0,554.5,1,1,176.0,189.0,176.0,189,14.0,10.6,0,72.0,15/03/2024,738960,11:37:08,5.01km,00:20:44,04:08/km,-37.84287937916815,144.96328524313867
37,10947774017,2.0,Lunch Run,5077.9,1498,1538,27.0,Run,0,7,3.39,4.516,79.4,389.9,461.0,385.0,584.1,1,1,167.9,182.0,167.9,182,13.0,4.6,0,70.0,13/03/2024,738958,11:20:49,5.08km,00:24:58,04:55/km,-27.995016714558005,153.4269836358726
38,10920172705,2.0,Lunch Walk,3950.4,3522,4564,293.0,Walk,0,3,1.122,2.747,51.1,n/a,n/a,n/a,n/a,n/a,1,109.2,149.0,109.2,149,1013.4,718.8,0,12.0,09/03/2024,738954,12:21:36,3.95km,00:58:42,14:51/km,-43.99869583547115,170.4625478759408
39,10907052740,2.0,Glendhu Bay ride,19832.3,5674,8029,458.0,Ride,2,8,3.495,8.952,n/a,91.4,n/a,n/a,518.8,0,1,146.0,183.0,146.0,183,324.6,275.8,1,106.0,07/03/2024,738952,13:35:49,19.83km,01:34:34,12.6km/h,-44.695459976792336,169.1338251158595
40,10905893008,2.0,Mount Iron climb,3217.8,1362,1444,248.0,Run,0,5,2.363,4.54,69.6,365.3,647.0,367.0,497.5,1,1,176.7,191.0,176.7,191,545.8,319.0,0,82.0,07/03/2024,738952,10:31:31,3.22km,00:22:42,07:03/km,-44.69403874129057,169.15632717311382
